oversamp	turnout	weight_ftf	source	vh12_source	vendorid	col0_abtid	cat.partyaffiliation	dispo	registration	prevote_reg	postvote_reg	regdate	e2012g	e2010g	e2008g	e2006g	namematch	cat.notatsample	birthyearmatch	dobmatch	cat.samezip9	cat.samestreet	cat.samezip5	cat.sametown	cat_voterstatus	vendor_num	streetnum	regaddr.ll	altstreet_match
0	Voted	0.7838	2	2	XXXXX99999999	70022	NA	Complete	1	1. Registered at this address	-1. Inapplicable	19999999	1	0	1	0	1	NA	match	match	NA	NA	NA	NA	NA	2	NA	NA	NA
0	Voted	0.7893	3	3	XX-999900000000000	10074	NA	Complete	1	2. Registered at a different address	-1. Inapplicable	NA	1	1	0	0	0	NA	match	mismatch	NA	NA	NA	NA	NA	1	1935	NA	TRUE
0	Voted	0.7893	3	3	XX-999900000000000	10074	NA	Complete	0	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	1935	NA	FALSE
0	Voted	0.8474	3	3	XX-999900000000000	10066	NA	Complete	1	1. Registered at this address	-1. Inapplicable	NA	1	1	1	0	1	NA	match	match	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Not voted	1.3891	1	1	999999999	12218	DEM	Complete	1	2. Registered at a different address	-1. Inapplicable	20089999	0	1	1	0	1	1	match	match	0	0	0	0	active	NA	NA	NA	NA
0	"Not voted, unregistered"	0.1726	3	3	XX-999900000000000	12215	NA	Complete	0	3. Not currently registered	3. Not currently registered	NA	0	0	0	0	0	NA	match	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	"Not voted, unregistered"	0.1783	3	3	XX-999900000000000	12214	NA	Complete	1	3. Not currently registered	3. Not currently registered	NA	1	0	0	0	0	NA	match	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	"Not voted, unregistered"	0.1783	3	3	XX-999900000000000	12214	NA	Complete	0	3. Not currently registered	3. Not currently registered	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	NA	NA	NA
0	"Not voted, unregistered"	0.1783	3	3	XX-999900000000000	12214	NA	Complete	0	3. Not currently registered	3. Not currently registered	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	NA	NA	NA
0	"Not voted, unregistered"	0.1783	3	3	XX-999900000000000	12214	NA	Complete	0	3. Not currently registered	3. Not currently registered	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	NA	NA	NA
